,Acurácia,Precision,Recall,F1-Score
Regressão Logística,86.46288209606988,52.38095238095239,34.375,41.509433962264154
Random Forest,92.13973799126637,79.16666666666666,59.375,67.85714285714286
KNN,86.46288209606988,51.85185185185185,43.75,47.45762711864407
Gradient Boosting,89.95633187772926,66.66666666666666,56.25,61.016949152542374
