Modelo,Accuracy Média (%),Precision Média (%),Recall Médio (%),F1-Score Médio (%),F1-Score Desvio (%)
Random Forest,88.62981690032943,65.63348416289593,35.86693548387097,45.629139403376904,12.147899582407812
Gradient Boosting,87.05470006894967,53.971014492753625,38.99193548387097,44.97052852271069,10.198436965657203
Regressão Logística,87.49023213054471,57.71460423634336,35.26209677419355,43.153001277139204,9.320345094561414
KNN,85.39186393932428,46.78310677087095,38.44758064516129,41.91486623551086,7.689858759343893
