Modelo,Accuracy Média (%),Precision Média (%),Recall Médio (%),F1-Score Médio (%),F1-Score Desvio (%)
Random Forest,90.48399687743951,74.8538961038961,48.92307692307693,58.83386463043963,6.382829936093662
Gradient Boosting,88.84285113793311,63.44857241142071,47.384615384615394,54.0110741971207,8.905412960017491
KNN,87.20170539842671,56.38910109498345,40.246153846153845,46.67450934640015,8.405363993494298
Regressão Logística,87.64066534558339,61.388023740964904,35.50769230769231,44.484971293481934,12.051177839583573
