Modelo,Accuracy Média (%),Precision Média (%),Recall Médio (%),F1-Score Médio (%),F1-Score Desvio (%)
Gradient Boosting Otimizado,88.01654792001837,58.83704109510561,44.05241935483871,49.96589935041464,9.243562749298006
Random Forest Otimizado,88.27970581475523,62.1957671957672,37.13709677419355,45.633596695407,12.676161988739773
