Variável,Importância (%)
Teor alcoólico,28.78530579284298
Acidez volátil,15.547710306561708
Sulfatos,13.307630035629641
Dióxido de enxofre total,6.8395800237952455
Acidez fixa,6.431340874437126
Ácido cítrico,6.224389940251238
Dióxido de enxofre livre,5.476167312672703
Açúcar residual,4.453410734289906
Densidade,4.385584957501863
pH,4.311558972616117
Cloretos,4.23732104940149
